k;Nk;Pk;logk;logPk;empty;target_source;count
;;;;;;134;11
;;;;;;134;11
;;;;;;134;11
;;;;;;134;11
;;;;;;134;11
;;;;;;134;11
;;;;;;135;10
;;;;;;135;10
;;;;;;135;10
;;;;;;135;10
;;;;;;135;10
;;;;;;136;9
;;;;;;136;9
;;;;;;136;9
;;;;;;136;9
;;;;;;137;5
;;;;;;137;5
;;;;;;137;5
;;;;;;138;7
;;;;;;138;7
;;;;;;138;7
;;;;;;139;13
;;;;;;139;13
;;;;;;139;13
;;;;;;139;13
;;;;;;139;13
;;;;;;139;13
;;;;;;139;13
;;;;;;140;12
;;;;;;140;12
;;;;;;140;12
;;;;;;140;12
;;;;;;140;12
;;;;;;140;12
;;;;;;140;12
;;;;;;140;12
;;;;;;141;11
;;;;;;141;11
;;;;;;141;11
;;;;;;141;11
;;;;;;142;13
;;;;;;142;13
;;;;;;142;13
;;;;;;142;13
;;;;;;142;13
;;;;;;142;13
;;;;;;143;11
;;;;;;143;11
;;;;;;143;11
;;;;;;143;11
;;;;;;143;11
;;;;;;144;16
;;;;;;144;16
;;;;;;144;16
;;;;;;144;16
;;;;;;144;16
;;;;;;144;16
;;;;;;144;16
;;;;;;144;16
;;;;;;144;16
;;;;;;145;7
;;;;;;145;7
;;;;;;145;7
;;;;;;146;7
;;;;;;146;7
;;;;;;146;7
;;;;;;147;9
;;;;;;147;9
;;;;;;147;9
;;;;;;147;9
;;;;;;147;9
;;;;;;148;12
;;;;;;148;12
;;;;;;148;12
;;;;;;148;12
;;;;;;148;12
;;;;;;148;12
;;;;;;149;6
;;;;;;150;14
;;;;;;150;14
;;;;;;150;14
;;;;;;150;14
;;;;;;150;14
;;;;;;151;12
;;;;;;151;12
;;;;;;151;12
;;;;;;151;12
;;;;;;152;10
;;;;;;152;10
;;;;;;152;10
;;;;;;152;10
;;;;;;152;10
;;;;;;152;10
;;;;;;152;10
;;;;;;152;10
;;;;;;153;7
;;;;;;153;7
;;;;;;153;7
;;;;;;154;14
;;;;;;154;14
;;;;;;154;14
;;;;;;154;14
;;;;;;154;14
;;;;;;154;14
;;;;;;155;8
;;;;;;155;8
;;;;;;156;12
;;;;;;156;12
;;;;;;156;12
;;;;;;156;12
;;;;;;156;12
;;;;;;156;12
;;;;;;156;12
;;;;;;156;12
;;;;;;157;12
;;;;;;157;12
;;;;;;157;12
;;;;;;157;12
;;;;;;158;12
;;;;;;158;12
;;;;;;158;12
;;;;;;158;12
;;;;;;158;12
;;;;;;158;12
;;;;;;158;12
;;;;;;158;12
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;159;16
;;;;;;160;8
;;;;;;160;8
;;;;;;160;8
;;;;;;160;8
;;;;;;160;8
;;;;;;160;8
;;;;;;161;9
;;;;;;161;9
;;;;;;161;9
;;;;;;161;9
;;;;;;162;6
;;;;;;162;6
;;;;;;162;6
;;;;;;162;6
;;;;;;162;6
;;;;;;163;12
;;;;;;163;12
;;;;;;163;12
;;;;;;163;12
;;;;;;163;12
;;;;;;163;12
;;;;;;163;12
;;;;;;164;7
;;;;;;164;7
;;;;;;165;12
;;;;;;165;12
;;;;;;165;12
