k;Nk;Pk;Logk;LokPk;;;
;0;0;#¡NUM!;#¡NUM!;;2101;9
;0;0;#¡NUM!;#¡NUM!;;2150;10
;0;0;#¡NUM!;#¡NUM!;;2245;42
;0;0;#¡NUM!;#¡NUM!;;2293;11
;0;0;#¡NUM!;#¡NUM!;;2298;35
;0;0;#¡NUM!;#¡NUM!;;2333;8
;0;0;#¡NUM!;#¡NUM!;;2336;20
;0;0;#¡NUM!;#¡NUM!;;2370;7
;0;0;#¡NUM!;#¡NUM!;;2404;28
;0;0;#¡NUM!;#¡NUM!;;2462;19
;0;0;#¡NUM!;#¡NUM!;;2510;19
;0;0;#¡NUM!;#¡NUM!;;2511;39
;0;0;#¡NUM!;#¡NUM!;;2530;13
;0;0;#¡NUM!;#¡NUM!;;2572;84
;0;0;#¡NUM!;#¡NUM!;;2576;65
;0;0;#¡NUM!;#¡NUM!;;2581;25
;0;0;#¡NUM!;#¡NUM!;;2240;5
;0;0;#¡NUM!;#¡NUM!;;2470;23
;0;0;#¡NUM!;#¡NUM!;;1581;17
;0;0;#¡NUM!;#¡NUM!;;2039;54
;0;0;#¡NUM!;#¡NUM!;;2528;68
;0;0;#¡NUM!;#¡NUM!;;2532;31
;0;0;#¡NUM!;#¡NUM!;;2543;11
;0;0;#¡NUM!;#¡NUM!;;2554;13
;0;0;#¡NUM!;#¡NUM!;;2568;36
;0;0;#¡NUM!;#¡NUM!;;2576;65
;0;0;#¡NUM!;#¡NUM!;;1472;18
;0;0;#¡NUM!;#¡NUM!;;1482;8
;0;0;#¡NUM!;#¡NUM!;;1663;9
;0;0;#¡NUM!;#¡NUM!;;1698;87
;0;0;#¡NUM!;#¡NUM!;;1912;35
;0;0;#¡NUM!;#¡NUM!;;2334;17
;0;0;#¡NUM!;#¡NUM!;;2346;22
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;2555;13
;0;0;#¡NUM!;#¡NUM!;;1369;1
;0;0;#¡NUM!;#¡NUM!;;1448;23
;0;0;#¡NUM!;#¡NUM!;;1518;30
;0;0;#¡NUM!;#¡NUM!;;1547;9
;0;0;#¡NUM!;#¡NUM!;;1552;15
;0;0;#¡NUM!;#¡NUM!;;1554;11
;0;0;#¡NUM!;#¡NUM!;;1581;17
;0;0;#¡NUM!;#¡NUM!;;1598;95
;0;0;#¡NUM!;#¡NUM!;;1657;5
;0;0;#¡NUM!;#¡NUM!;;1688;8
;0;0;#¡NUM!;#¡NUM!;;1704;6
;0;0;#¡NUM!;#¡NUM!;;1793;29
;0;0;#¡NUM!;#¡NUM!;;1875;15
;0;0;#¡NUM!;#¡NUM!;;1908;78
;0;0;#¡NUM!;#¡NUM!;;1970;7
;0;0;#¡NUM!;#¡NUM!;;1980;16
;0;0;#¡NUM!;#¡NUM!;;2006;8
;0;0;#¡NUM!;#¡NUM!;;2009;1
;0;0;#¡NUM!;#¡NUM!;;2013;11
;0;0;#¡NUM!;#¡NUM!;;2014;23
;0;0;#¡NUM!;#¡NUM!;;2028;6
;0;0;#¡NUM!;#¡NUM!;;2034;2
;0;0;#¡NUM!;#¡NUM!;;2044;78
;0;0;#¡NUM!;#¡NUM!;;2082;18
;0;0;#¡NUM!;#¡NUM!;;2107;9
;0;0;#¡NUM!;#¡NUM!;;2147;38
;0;0;#¡NUM!;#¡NUM!;;2236;37
;0;0;#¡NUM!;#¡NUM!;;2243;15
;0;0;#¡NUM!;#¡NUM!;;2244;34
;0;0;#¡NUM!;#¡NUM!;;2257;25
